SampID,date,type,cruise,exp,treatment,rep,Compound,Area,Fragment_mz
230808_Smp_TN397_UKH1_0nM_B,230808,Smp,TN397,UKH1,0nM,B,D3-Homarine,76580,78.0399
230808_Smp_TN397_UKH1_0nM_C,230808,Smp,TN397,UKH1,0nM,C,D3-Homarine,316933,78.0399
230808_Smp_TN397_UKH1_2nM_A,230808,Smp,TN397,UKH1,2nM,A,D3-Homarine,39748560,78.0399
230808_Smp_TN397_UKH1_2nM_B,230808,Smp,TN397,UKH1,2nM,B,D3-Homarine,50080256,78.0399
230808_Smp_TN397_UKH1_2nM_C,230808,Smp,TN397,UKH1,2nM,C,D3-Homarine,46484356,78.0399
230808_Smp_TN397_UKH1_5nM_A,230808,Smp,TN397,UKH1,5nM,A,D3-Homarine,55434760,78.0399
230808_Smp_TN397_UKH1_5nM_B,230808,Smp,TN397,UKH1,5nM,B,D3-Homarine,81290168,78.0399
230808_Smp_TN397_UKH1_5nM_C,230808,Smp,TN397,UKH1,5nM,C,D3-Homarine,60305912,78.0399
230808_Smp_TN397_UKH1_10nM_A,230808,Smp,TN397,UKH1,10nM,A,D3-Homarine,109796392,78.0399
230808_Smp_TN397_UKH1_10nM_B,230808,Smp,TN397,UKH1,10nM,B,D3-Homarine,120822528,78.0399
230808_Smp_TN397_UKH1_10nM_C,230808,Smp,TN397,UKH1,10nM,C,D3-Homarine,152260480,78.0399
230808_Smp_TN397_UKH1_50nM_A,230808,Smp,TN397,UKH1,50nM,A,D3-Homarine,195477024,78.0399
230808_Smp_TN397_UKH1_50nM_B,230808,Smp,TN397,UKH1,50nM,B,D3-Homarine,161738512,78.0399
230808_Smp_TN397_UKH1_50nM_C,230808,Smp,TN397,UKH1,50nM,C,D3-Homarine,266607056,78.0399
230808_Smp_TN397_UKH1_200nM_A,230808,Smp,TN397,UKH1,200nM,A,D3-Homarine,441038368,78.0399
230808_Smp_TN397_UKH1_200nM_B,230808,Smp,TN397,UKH1,200nM,B,D3-Homarine,536815520,78.0399
230808_Smp_TN397_UKH1_200nM_C,230808,Smp,TN397,UKH1,200nM,C,D3-Homarine,494037184,78.0399
230808_Smp_TN397_UKH1_1000nM_A,230808,Smp,TN397,UKH1,1000nM,A,D3-Homarine,915858432,78.0399
230808_Smp_TN397_UKH1_1000nM_B,230808,Smp,TN397,UKH1,1000nM,B,D3-Homarine,762202112,78.0399
230808_Smp_TN397_UKH1_1000nM_C,230808,Smp,TN397,UKH1,1000nM,C,D3-Homarine,819295936,78.0399
230808_Smp_TN397_UKH2_0nM_A,230808,Smp,TN397,UKH2,0nM,A,D3-Homarine,173022,78.0399
230808_Smp_TN397_UKH2_0nM_B,230808,Smp,TN397,UKH2,0nM,B,D3-Homarine,204605,78.0399
230808_Smp_TN397_UKH2_0nM_Blk,230808,Smp,TN397,UKH2,0nM,Blk,D3-Homarine,721438,78.0399
230808_Smp_TN397_UKH2_0nM_C,230808,Smp,TN397,UKH2,0nM,C,D3-Homarine,93329,78.0399
230808_Smp_TN397_UKH2_2nM_A,230808,Smp,TN397,UKH2,2nM,A,D3-Homarine,25774408,78.0399
230808_Smp_TN397_UKH2_2nM_B,230808,Smp,TN397,UKH2,2nM,B,D3-Homarine,15633825,78.0399
230808_Smp_TN397_UKH2_2nM_C,230808,Smp,TN397,UKH2,2nM,C,D3-Homarine,20962082,78.0399
230808_Smp_TN397_UKH2_5nM_A,230808,Smp,TN397,UKH2,5nM,A,D3-Homarine,48146016,78.0399
230808_Smp_TN397_UKH2_5nM_B,230808,Smp,TN397,UKH2,5nM,B,D3-Homarine,37232904,78.0399
230808_Smp_TN397_UKH2_5nM_Blk,230808,Smp,TN397,UKH2,5nM,Blk,D3-Homarine,1604881,78.0399
230808_Smp_TN397_UKH2_5nM_C,230808,Smp,TN397,UKH2,5nM,C,D3-Homarine,37674596,78.0399
